PreLength	CountsMIRb	Expression	len	group
85	5	high	21	gp5
100	18	high	21	gp5
104	12	high	21	gp5
104	12	middle	21	gp5
95	5	high	21	gp5
95	5	middle	21	gp5
94	2	high	21	gp5
180	2	low	20	gp5
180	2	high	20	gp1
95	13	middle	21	gp1
95	13	middle	21	gp1
83	2	middle	21	gp1
83	2	middle	21	gp1
81	1	middle	21	gp1
89	3	middle	21	gp1
89	3	middle	21	gp1
87	1	high	21	gp3
96	1	high	21	gp3
91	1	middle	21	gp3
91	1	high	21	gp3
72	1	high	21	gp3
90	2	high	21	gp3
90	2	middle	21	gp3
93	3	high	21	gp3
93	3	middle	21	gp3
78	1	high	21	gp3
106	8	low	21	gp2
106	8	middle	21	gp2
85	2	high	21	gp2
92	2	middle	21	gp2
92	2	high	21	gp2
89	2	low	21	gp2
89	2	middle	21	gp2
91	1	low	24	gp2
91	1	middle	22	gp2
78	5	middle	21	gp2
78	5	high	21	gp4
171	1	high	20	gp4
175	1	low	19	gp4
67	1	middle	21	gp4
67	1	middle	20	gp4
205	1	low	24	gp4
205	1	low	24	gp4
129	1	low	23	gp4
129	1	low	24	gp4
