log2FC	FDR
-0.124626655	1.473739573
0.678071905	0.017107858
-5.906890596	-7.012338987
1.237039197	0.589373253
6.491853096	-6.719857736
0.457989644	2.677895773
-0.080170349	0.847440096
-0.018056494	6.457598873
0.172579455	1.942279425
0.491500041	4.566234699
1.678071905	-3.482892142
1.129824054	5.030233541
1.047305715	3.27854036
-1.115477217	0.746772433
-0.131361773	2.485219778
-0.193850841	2.677070905
-0.431217426	2.21199746
0.351290155	1.273255874
-0.247927513	-2.519892433
-0.538552036	1.109235605
1.166472712	4.904442923
6.491853096	-6.719857736
-0.983511877	1.629259462
0.541875788	5.288859802
1.350253363	3.889251487
-0.212259839	4.486028083
0.594612671	0.872618666
-1.180572246	-2.146679471
-0.116835161	11.33642557
0.1991001	2.25659376
0.209453366	-1.539129507
0.669175505	1.206431401
0.561878888	1.199325678
0.884285165	1.781279967
0.186815999	1.211103042
-0.402260226	3.470163259
5.64385619	-7.14385619
1.137503524	-1.168213832
-0.047123912	3.379705766
0.777607579	-2.447697478
-0.063325935	2.673208997
-0.147341716	2.55393598
-0.429987841	3.200494351
-0.46616284	3.227661144
1.259087221	-0.083575242
0.143692771	6.073423471
0.026046998	6.32753877
0.058560779	6.282513328
7.22881869	-6.351374939
-0.355894015	2.029945844
-0.320546864	2.223776375
-0.159036685	1.490944588
0.350687088	0.750655875
-0.038935663	2.737555415
-0.624088832	1.268101068
-1.893084796	-2.88995887
-0.004631449	2.639230305
7.845490051	-6.043039259
1.234256757	1.407900416
-0.212751147	5.328252654
-0.243915075	5.053167812
-0.912356036	6.629905117
0.391373179	6.245099543
-0.477011521	4.213035073
-0.57848429	3.184544766
0.543142325	-1.24300201
0.412618448	5.538659124
-0.241833204	4.248549882
-0.292313184	4.17649267
0.521309504	2.940979109
0.463165497	3.364159591
-1.853158612	-0.763080574
0.164386818	-0.703681786
4.321928095	-7.804820237
-0.186768512	3.977005072
-0.134905299	3.4748054
-0.357922354	2.104960595
0.062121712	1.352988951
-2.411813598	-0.630594469
-5.321928095	-7.304820237
-0.52323624	3.529153918
-0.155113468	3.722566619
0.624490865	-1.746648257
-0.20744208	1.059777692
5.321928095	-7.304820237
0.315687155	1.63292846
0.137503524	-3.253176333
-7.409390936	-6.261088817
-0.354808925	3.85997776
-0.685376706	3.642812077
6.491853096	-6.719857736
1.556393349	-1.778196674
