GeneNames	log2FC	qvalue
csde026755.1	2.256022196	6.36E-97
csde018741.1	1.137549313	1.25E-61
csde012742.1	-1.357354243	6.58E-40
csde034032.1	2.086765625	2.70E-30
csde017714.1	-1.966325946	3.61E-25
csde029054.1	2.145620042	9.64E-21
csde009160.1	-2.071182273	7.12E-17
csde004029.1	2.470933892	3.35E-14
csde008056.1	1.219267628	2.42E-12
csde028936.1	-1.0127643	2.58E-11
csde031247.1	-1.682925069	2.28E-10
csde030485.1	1.927605669	3.06E-09
csde030472.1	-1.741144718	1.20E-08
csde007402.1	2.312785713	6.59E-08
csde021085.1	-1.627604296	2.94E-07
csde023326.1	1.914940104	1.11E-06
csde008771.1	1.218312734	3.43E-06
csde015224.1	-3.058440854	9.42E-06
csde026737.1	-1.93254231	2.64E-05
csde023821.1	-1.350623445	6.15E-05
csde025463.1	-1.676074929	0.000115595
csde023494.1	-1.136490239	0.000211064
csde018689.1	1.078140658	0.000394821
csde022754.1	-2.892224394	0.000649188
csde027333.1	1.758252541	0.000976153
csde022183.1	-0.556041539	1.62E-58
csde008208.1	-0.218688788	1.10E-35
csde026320.1	0.912940894	9.12E-26
csde000218.1	0.473916429	1.07E-20
csde018149.1	0.552276267	4.01E-16
csde032312.1	0.860377169	2.53E-14
csde005151.1	0.363830437	1.07E-12
csde016683.1	-0.65384789	2.47E-11
csde020820.1	0.473606988	2.58E-10
csde015415.1	0.65581755	1.77E-09
csde007267.1	-0.522932468	6.99E-09
csde013685.1	-0.408338156	3.12E-08
csde016447.1	-0.832186474	6.42E-08
csde014872.1	0.341716644	1.95E-07
csde027675.1	-0.900009488	4.97E-07
csde006753.1	0.90725787	1.11E-06
csde017010.1	-0.635593061	3.21E-06
csde032488.1	-0.574396354	7.04E-06
csde031756.1	0.709581916	1.38E-05
csde028194.1	-0.26451953	3.03E-05
csde017970.1	-0.949804775	5.01E-05
csde006782.1	0.284989593	8.42E-05
csde012576.1	0.459464051	0.000124692
csde023891.1	-0.843095452	0.000182706
csde015712.1	-0.55550127	0.000272608
csde001599.1	0.616172241	0.000391303
csde007116.1	-0.63603725	0.000610691
csde033186.1	0.685650182	0.00080609
csde024635.1	1.540234027	0.001006338
csde004708.1	-0.810940424	0.001176844
csde014141.1	0.481212757	0.001500389
csde032527.1	0.457094627	0.001725476
csde015048.1	-1.6521079	0.001948925
csde000812.1	-0.978545159	0.002245426
csde022560.1	-1.173175752	0.002645993
csde015663.1	-1.124571543	0.002882969
csde017078.1	0.374113235	0.003190878
csde019212.1	-0.80305197	0.003938792
csde002895.1	3.679435834	0.004446806
csde027648.1	0.714025775	0.00496854
csde013868.1	-0.92471625	0.005529408
csde028712.1	0.966969174	0.005969185
csde028764.1	0.667787515	0.006786437
csde012273.1	-1.143370566	0.007331467
csde011391.1	1.001158419	0.008163708
csde023186.1	-0.19323804	0.0088076
csde005041.1	-0.966547163	0.009913921
csde028656.1	-0.520713601	0.011007796
csde009598.1	-0.931522667	0.012178346
csde001950.1	-0.561490409	0.013395086
csde009262.1	-0.98351445	0.014392729
csde008396.1	0.309174357	0.015431675
csde021471.1	-1.410173897	0.017657354
csde023676.1	0.805925677	0.018967994
csde006905.1	-1.619086738	0.020744107
csde001905.1	-0.571010708	0.022397284
csde001472.1	-0.710272119	0.023869022
csde032107.1	-0.667124137	0.025967842
csde015838.1	0.559634159	0.027346121
csde012446.1	1.516542858	0.029357288
csde001525.1	-0.554464356	0.031473688
csde000773.1	-0.621253752	0.033356885
csde029511.1	0.869466675	0.035555922
csde026555.1	-1.228428466	0.037746928
csde032314.1	-0.532365309	0.039897251
csde016395.1	0.351062896	0.041697412
csde029357.1	-2.085392896	0.043864824
csde026913.1	-1.72269242	0.046112265
csde023330.1	0.939334112	0.048900992
csde008169.1	-0.173425544	0.051488997
csde010624.1	-0.721724737	0.053809494
csde029204.1	-2.844339394	0.056501147
csde007465.1	-0.595205458	0.059762215
csde009317.1	-0.84311646	0.063202812
csde006160.1	0.581277391	0.065420874
csde012438.1	-0.444933541	0.067944294
csde021242.1	0.397074416	0.07132417
csde003844.1	3.719703115	0.073838358
csde006912.1	-1.318167474	0.077363333
csde010227.1	-0.396381749	0.081352615
csde010984.1	-0.859887658	0.08470464
csde019730.1	0.550826206	0.088319755
csde002076.1	-0.467627281	0.093268669
csde033212.1	-0.295276573	0.097857533
csde027261.1	-1.065375162	0.10105223
csde001361.1	-2.524502796	0.104766413
csde017635.1	-0.644588542	0.108170274
csde015295.1	-0.683780362	0.112057926
csde017642.1	-0.337300122	0.115074856
csde006707.1	0.706178573	0.118224405
csde033724.1	-0.407573426	0.123541339
csde025846.1	-2.289272686	0.127891993
csde005456.1	-0.405934072	0.131205716
csde018976.1	0.555231374	0.135559385
csde001539.1	-1.655736827	0.14104396
csde015857.1	0.573449287	0.145807563
csde009260.1	-1.058228544	0.150992148
csde028213.1	-0.507096199	0.15523512
csde034008.1	0.318368869	0.158552109
csde005262.1	0.381878434	0.163765182
csde007054.1	3.942282481	0.167579396
csde004196.1	-2.359940662	0.171648777
csde013153.1	-0.429121717	0.174515157
csde013399.1	-0.810825803	0.179501038
csde007052.1	1.28483255	0.18577145
csde027799.1	-0.473821968	0.190340836
csde031729.1	-0.943926968	0.195413361
csde002884.1	-0.447368688	0.200644922
csde028756.1	-1.221674917	0.20510585
csde021095.1	-0.348852387	0.209508836
csde003430.1	1.282083318	0.213846095
csde010727.1	-0.269666013	0.219648013
csde011129.1	-1.50697788	0.223997056
csde025828.1	1.287250616	0.229265439
csde030417.1	-0.284834242	0.234297955
csde029380.1	-0.319296501	0.237917235
csde025129.1	0.489537685	0.24333731
csde032338.1	-0.90720216	0.246427474
csde024191.1	-0.797977639	0.252443296
csde023710.1	0.42076086	0.255769711
csde023666.1	-0.361148444	0.261682055
csde025715.1	0.804928559	0.267736201
csde031266.1	-0.70888256	0.271860271
csde031037.1	0.286862042	0.277295858
csde032514.1	0.412243817	0.284178307
csde017261.1	-0.498235225	0.289895102
csde012100.1	-0.522451009	0.297681509
csde018215.1	-0.58306936	0.304519768
csde017613.1	-0.429354827	0.311146883
csde021029.1	-0.949952263	0.317688229
csde008667.1	-0.298301599	0.322072338
csde005586.1	0.580374625	0.32954858
